source_id	subject_id	session_id	bold_num	t1w_num	t2w_num	bold_size	t1w_size	bold_duration_total	bold_duration_mean	bold_voxels_total	bold_voxels_mean	datatypes
ds004884	sub-M2001	ses-1076	1	1	0	20845351	3810459	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2001	ses-1225	1	0	0	21160784	0	1200.0	1200.0	135168	135168.0	dwi,func
ds004884	sub-M2001	ses-1226	1	0	0	21313722	0	1200.0	1200.0	135168	135168.0	dwi,func
ds004884	sub-M2001	ses-1239	1	0	0	21554885	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2001	ses-1240	1	0	0	21347461	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2001	ses-1253	1	0	1	21333262	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2001	ses-1254	1	0	0	21436985	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2002	ses-1440	2	1	0	21343053	4436102	1200.0	600.0	270336	135168.0	anat,func
ds004884	sub-M2002	ses-1441	2	0	1	21385092	0	1200.0	600.0	270336	135168.0	anat,func
ds004884	sub-M2002	ses-1462	2	0	0	21447329	0	1200.0	600.0	270336	135168.0	func
ds004884	sub-M2002	ses-1467	1	0	0	10663546	0	600.0	600.0	135168	135168.0	func
ds004884	sub-M2002	ses-1468	1	0	0	10659598	0	600.0	600.0	135168	135168.0	func
ds004884	sub-M2002	ses-1499	2	0	0	21028254	0	1200.0	600.0	270336	135168.0	func
ds004884	sub-M2002	ses-1500	2	0	0	21226888	0	1200.0	600.0	270336	135168.0	func
ds004884	sub-M2002	ses-1514	1	0	0	21042759	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2002	ses-1684	1	0	0	22001754	0	1200.0	1200.0	135168	135168.0	dwi,func
ds004884	sub-M2002	ses-1685	1	0	0	21993274	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2002	ses-1698	1	0	0	21998794	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2002	ses-1699	1	0	0	21935816	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2002	ses-1712	1	0	0	21755965	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2002	ses-1713	1	0	1	21927176	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2002	ses-3058	1	0	0	10903084	0	600.0	600.0	135168	135168.0	dwi,func
ds004884	sub-M2002	ses-3059	2	0	0	21965920	0	1200.0	600.0	270336	135168.0	func
ds004884	sub-M2002	ses-3114	1	0	0	14539623	0	800.0	800.0	135168	135168.0	dwi,func
ds004884	sub-M2002	ses-3115	2	0	0	21762096	0	1200.0	600.0	270336	135168.0	func
ds004884	sub-M2002	ses-3149	3	0	0	36345419	0	2000.0	666.6666666666666	405504	135168.0	dwi,func
ds004884	sub-M2002	ses-3770	1	1	1	33187818	4919877	362.60000467300415	362.60000467300415	139264	139264.0	anat,dwi,func
ds004884	sub-M2002	ses-4006	1	1	0	10871427	4266255	600.0	600.0	135168	135168.0	anat,func
ds004884	sub-M2003	ses-1408	1	1	0	21946821	3986274	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2003	ses-1503	2	0	0	21968030	0	1200.0	600.0	270336	135168.0	func
ds004884	sub-M2003	ses-1505	1	0	0	22243368	0	1200.0	1200.0	135168	135168.0	dwi,func
ds004884	sub-M2003	ses-1555	1	0	0	21585617	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2003	ses-1559	1	0	0	22040702	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2003	ses-1573	1	0	0	22274774	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2003	ses-1574	1	0	0	22384619	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2003	ses-1589	1	0	0	22148163	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2003	ses-1590	1	0	0	22057297	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2004	ses-524	1	1	0	21230208	3856172	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2004	ses-754	1	0	0	21232157	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2004	ses-755	1	0	1	21230845	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2004	ses-768	1	0	1	21318749	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2004	ses-769	1	0	0	21493872	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2004	ses-779	1	0	0	21300072	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2004	ses-780	1	0	0	21352050	0	1200.0	1200.0	135168	135168.0	dwi,func
ds004884	sub-M2005	ses-1034	0	0	1	0	0	n/a	n/a	n/a	n/a	anat
ds004884	sub-M2005	ses-2060	1	0	0	32426672	0	316.0	316.0	171088	171088.0	dwi,func
ds004884	sub-M2005	ses-2062	0	0	0	0	0	n/a	n/a	n/a	n/a	dwi
ds004884	sub-M2005	ses-2088	1	0	0	32225810	0	316.0	316.0	171088	171088.0	dwi,func
ds004884	sub-M2005	ses-2091	0	0	0	0	0	n/a	n/a	n/a	n/a	dwi
ds004884	sub-M2005	ses-2446	1	1	1	10581921	3792239	600.0	600.0	135168	135168.0	anat,func
ds004884	sub-M2005	ses-2447	1	0	0	10608209	0	600.0	600.0	135168	135168.0	dwi,func
ds004884	sub-M2005	ses-3476	3	1	1	31042161	3646488	1800.0	600.0	405504	135168.0	anat,dwi,func
ds004884	sub-M2005	ses-3616	5	0	0	280638255	0	2426.999990940094	485.3999981880188	1215504	243100.8	func
ds004884	sub-M2005	ses-4334	2	1	1	292162787	3740858	1304.5499898195267	652.2749949097633	540168	270084.0	anat,dwi,func
ds004884	sub-M2005	ses-4380	2	0	0	295336609	0	1304.5499898195267	652.2749949097633	540168	270084.0	dwi,func
ds004884	sub-M2005	ses-4421	2	0	0	290376136	0	1304.5499898195267	652.2749949097633	540168	270084.0	dwi,func
ds004884	sub-M2005	ses-4602	2	0	1	291080370	0	1304.5499898195267	652.2749949097633	540168	270084.0	anat,dwi,func
ds004884	sub-M2005	ses-4996	0	1	1	0	3742759	n/a	n/a	n/a	n/a	anat
ds004884	sub-M2005	ses-5020	1	1	1	287397451	3890864	704.5499898195267	704.5499898195267	405000	405000.0	anat,dwi,func
ds004884	sub-M2005	ses-520	1	1	0	10403934	3686127	600.0	600.0	135168	135168.0	anat,dwi,func
ds004884	sub-M2005	ses-522	1	0	0	20812391	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2005	ses-550	1	0	0	10515757	0	600.0	600.0	135168	135168.0	func
ds004884	sub-M2005	ses-555	1	0	0	10511055	0	600.0	600.0	135168	135168.0	func
ds004884	sub-M2005	ses-5643	2	1	1	296577922	3886725	1304.5499898195267	652.2749949097633	540168	270084.0	anat,dwi,func
ds004884	sub-M2005	ses-582	1	0	0	10418546	0	600.0	600.0	135168	135168.0	func
ds004884	sub-M2005	ses-583	1	0	0	10293213	0	600.0	600.0	135168	135168.0	func
ds004884	sub-M2005	ses-5903	2	1	1	294984976	3852679	1304.5499898195267	652.2749949097633	540168	270084.0	anat,dwi,func
ds004884	sub-M2005	ses-6486	1	1	1	282102234	3791397	704.5499898195267	704.5499898195267	405000	405000.0	anat,dwi,func
ds004884	sub-M2005	ses-732	1	0	0	21386501	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2005	ses-733	1	0	0	21043792	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2005	ses-746	1	0	0	21201586	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2005	ses-747	1	0	0	21404323	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2005	ses-760	1	0	0	20967579	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2005	ses-761	1	0	0	21219167	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2006	ses-1773	1	1	0	21318524	4057666	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2006	ses-2087	1	0	0	21744850	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2006	ses-2088	1	0	0	21573152	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2006	ses-2101	1	0	0	21706330	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2006	ses-2102	1	0	0	21454423	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2006	ses-2115	1	0	0	21648119	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2006	ses-2116	1	0	0	21667407	0	1200.0	1200.0	135168	135168.0	dwi,func
ds004884	sub-M2006	ses-2381	0	0	1	0	0	n/a	n/a	n/a	n/a	anat,dwi
ds004884	sub-M2006	ses-3942	1	1	1	31949152	4237476	362.60000467300415	362.60000467300415	139264	139264.0	anat,dwi,func
ds004884	sub-M2006	ses-4145	3	1	0	53833380	4587047	1562.6000046730042	520.8666682243347	409600	136533.33333333334	anat,dwi,func
ds004884	sub-M2006	ses-5432	2	1	1	295386114	4563949	1304.5499898195267	652.2749949097633	540168	270084.0	anat,dwi,func
ds004884	sub-M2006	ses-5459	2	0	0	295505771	0	1304.5499898195267	652.2749949097633	540168	270084.0	dwi,func
ds004884	sub-M2006	ses-5510	2	0	0	295547698	0	1304.5499898195267	652.2749949097633	540168	270084.0	dwi,func
ds004884	sub-M2006	ses-5691	2	0	0	297129210	0	1304.5499898195267	652.2749949097633	540168	270084.0	dwi,func
ds004884	sub-M2006	ses-5929	0	1	1	0	4780990	n/a	n/a	n/a	n/a	anat
ds004884	sub-M2006	ses-6312	1	1	1	285092098	4576654	704.5499898195267	704.5499898195267	405000	405000.0	anat,dwi,func
ds004884	sub-M2007	ses-6329	2	1	0	21823936	4338705	1200.0	600.0	270336	135168.0	anat,func
ds004884	sub-M2007	ses-6330	2	0	1	21687051	0	1200.0	600.0	270336	135168.0	anat,func
ds004884	sub-M2007	ses-6351	2	0	0	21689630	0	1200.0	600.0	270336	135168.0	func
ds004884	sub-M2007	ses-6356	1	0	0	10830002	0	600.0	600.0	135168	135168.0	func
ds004884	sub-M2007	ses-6357	1	0	0	10842960	0	600.0	600.0	135168	135168.0	func
ds004884	sub-M2007	ses-6388	2	0	0	21719066	0	1200.0	600.0	270336	135168.0	func
ds004884	sub-M2007	ses-6389	2	0	0	21906351	0	1200.0	600.0	270336	135168.0	func
ds004884	sub-M2007	ses-6403	1	0	0	21572568	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2007	ses-6846	1	0	0	22325086	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2007	ses-6847	1	0	0	22176704	0	1200.0	1200.0	135168	135168.0	dwi,func
ds004884	sub-M2007	ses-6860	1	0	0	22100479	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2007	ses-6861	1	1	0	22204045	4147758	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2007	ses-6874	1	0	1	22049119	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2007	ses-6875	1	0	0	21256130	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2007	ses-8296	3	0	0	33477221	0	1800.0	600.0	405504	135168.0	dwi,func
ds004884	sub-M2007	ses-8673	1	1	1	33869969	4410560	362.60000467300415	362.60000467300415	139264	139264.0	anat,dwi,func
ds004884	sub-M2007	ses-9301	1	1	1	33253353	4308235	362.60000467300415	362.60000467300415	139264	139264.0	anat,dwi,func
ds004884	sub-M2007	ses-9637	3	0	0	32287904	0	1800.0	600.0	405504	135168.0	func
ds004884	sub-M2007	ses-9685	3	0	0	32569414	0	1800.0	600.0	405504	135168.0	func
ds004884	sub-M2009	ses-2815	1	1	0	20970983	3845460	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2009	ses-2816	1	0	0	20970989	0	1200.0	1200.0	135168	135168.0	dwi,func
ds004884	sub-M2009	ses-2829	1	0	0	21085853	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2009	ses-2830	1	0	1	21024298	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2009	ses-2843	1	0	1	20893613	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2009	ses-2844	1	0	0	20996144	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2009	ses-3299	0	0	1	0	0	n/a	n/a	n/a	n/a	anat
ds004884	sub-M2011	ses-268	1	1	0	21325427	3982571	1200.0	1200.0	135168	135168.0	anat,dwi,func
ds004884	sub-M2011	ses-336	1	0	0	21258374	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2011	ses-339	1	0	1	21306626	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2011	ses-350	1	0	0	21182486	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2011	ses-352	1	0	0	21318859	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2011	ses-364	1	0	0	21387763	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2011	ses-366	1	0	0	21310928	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2012	ses-1158	1	1	1	21147495	3735810	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2012	ses-1159	1	0	0	21342402	0	1200.0	1200.0	135168	135168.0	dwi,func
ds004884	sub-M2012	ses-1172	1	0	0	21292955	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2012	ses-1173	1	0	0	21386477	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2012	ses-1186	1	0	0	21244292	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2012	ses-1187	1	0	0	21420366	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2013	ses-136	1	1	0	20870764	3559466	1200.0	1200.0	135168	135168.0	anat,dwi,func
ds004884	sub-M2013	ses-194	1	0	0	20930315	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2013	ses-195	1	0	1	20841851	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2013	ses-208	1	0	0	21025705	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2013	ses-209	1	0	0	20714336	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2013	ses-222	1	0	1	21025025	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2013	ses-223	1	0	0	20392323	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2014	ses-1959	1	1	1	31796286	3652217	362.60000467300415	362.60000467300415	139264	139264.0	anat,dwi,func
ds004884	sub-M2014	ses-291	1	1	0	21286741	3590803	1200.0	1200.0	135168	135168.0	anat,dwi,func
ds004884	sub-M2014	ses-321	1	0	0	21304707	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2014	ses-322	1	0	1	21375212	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2014	ses-335	1	0	0	21549852	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2014	ses-336	1	0	1	21408662	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2014	ses-349	1	0	0	21467576	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2014	ses-350	1	0	0	21514314	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2015	ses-367	1	1	0	9845420	2927802	600.0	600.0	135168	135168.0	anat,func
ds004884	sub-M2015	ses-381	1	0	0	19424080	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2015	ses-382	1	0	0	19512173	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2015	ses-395	1	0	0	20079936	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2015	ses-396	1	0	0	20233818	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2015	ses-409	1	0	1	20051892	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2015	ses-410	1	0	1	19796182	0	1200.0	1200.0	135168	135168.0	anat,func
ds004884	sub-M2016	ses-2693	1	0	0	22196114	0	1200.0	1200.0	135168	135168.0	func
ds004884	sub-M2016	ses-2694	1	0	0	22444176	0	1200.0	1200.0	135168	135168.0	func
